,terms,importance,period,topic
250,tyloxapol,0.00797330508187046,2017,0
251,amcns,0.007817539399110885,2017,0
252,vaginal,0.0074401557617698065,2017,0
253,119,0.007263995832001606,2017,0
254,nih/3t3,0.006889608637960382,2017,0
255,anion,0.006342753539712681,2017,0
256,denote,0.00634261068108388,2017,0
257,11.7,0.006129886574868066,2017,0
258,genital,0.005971517470162133,2017,0
259,spherulites,0.005843955343856743,2017,0
260,peo,0.053236452509669775,2018,0
261,oatp,0.03397645053621865,2018,0
262,subset,0.02583157090309379,2018,0
263,fluconazole,0.02307196292956784,2018,0
264,focusing,0.015069238023294611,2018,0
265,already,0.013601584961930674,2018,0
266,synergism,0.011262290933275946,2018,0
267,oatps,0.009267607121687022,2018,0
268,accordingly,0.009012541009812913,2018,0
269,oatp2b1,0.008136219445826839,2018,0
270,tyloxapol,0.00797357671450512,2018,0
271,amcns,0.007817803889815993,2018,0
272,vaginal,0.007440403103886208,2018,0
273,119,0.007264235246584214,2018,0
274,nih/3t3,0.006889831374827078,2018,0
275,anion,0.006342952355059368,2018,0
276,denote,0.006342809490252667,2018,0
277,11.7,0.006130076227782426,2018,0
278,genital,0.005971700363301661,2018,0
279,spherulites,0.005844132828459454,2018,0
280,peo,0.053237882484824396,2019,0
281,oatp,0.03397727671365453,2019,0
282,subset,0.025832158911955894,2019,0
283,fluconazole,0.02307247335062871,2019,0
284,focusing,0.015069535027901076,2019,0
285,already,0.013601845142603793,2019,0
286,synergism,0.01126249432246708,2019,0
287,oatps,0.009267764251522457,2019,0
288,accordingly,0.00901269238984612,2019,0
289,oatp2b1,0.008136351390720914,2019,0
290,tyloxapol,0.007973705109506528,2019,0
291,amcns,0.007817928902489845,2019,0
292,vaginal,0.007440519995612656,2019,0
293,119,0.007264348384324734,2019,0
294,nih/3t3,0.00688993661549819,2019,0
295,anion,0.00634304626983594,2019,0
296,denote,0.006342903402104447,2019,0
297,11.7,0.006130165804921103,2019,0
298,genital,0.005971786740417466,2019,0
299,spherulites,0.005844216645320176,2019,0
300,hap,0.025299478136621836,2005,1
301,saquinavir,0.023247162899836728,2005,1
302,lavage,0.01869836019188378,2005,1
303,urea,0.01611921918786822,2005,1
304,mutation,0.013931572064668465,2005,1
305,elf,0.011832383104189917,2005,1
306,back,0.011706539326750184,2005,1
307,ls174,0.011135853135160509,2005,1
308,phosphatidylcholine,0.010165283172012098,2005,1
309,lopinavir,0.009955002931877049,2005,1
310,pore,0.009736934829406742,2005,1
311,neat,0.009717082143643196,2005,1
312,tea,0.009460997825021602,2005,1
313,dppc,0.008468850739058287,2005,1
314,bronchoalveolar,0.00808345353217211,2005,1
315,anatomical,0.00746370065848726,2005,1
316,cdna,0.00727874123519767,2005,1
317,cetp,0.007276278685550356,2005,1
318,arrangement,0.006992728890385343,2005,1
319,prime,0.006841834980063452,2005,1
320,hap,0.02537813080138178,2006,1
321,saquinavir,0.023317996910792716,2006,1
322,lavage,0.018752356813820484,2006,1
323,urea,0.016164018628022844,2006,1
324,mutation,0.013968805987244483,2006,1
325,elf,0.011862594122664051,2006,1
326,back,0.011736337543535185,2006,1
327,ls174,0.01116379192635639,2006,1
328,phosphatidylcholine,0.010190109388669258,2006,1
329,lopinavir,0.009979163510066417,2006,1
330,pore,0.009760408549197906,2006,1
331,neat,0.009740493508783605,2006,1
332,tea,0.009483607544354533,2006,1
333,dppc,0.008488403824771366,2006,1
334,bronchoalveolar,0.008101841687785787,2006,1
335,anatomical,0.0074802439739319595,2006,1
336,cdna,0.0072947411310943094,2006,1
337,cetp,0.007292271369350513,2006,1
338,arrangement,0.007007895267072417,2006,1
339,prime,0.006856565035339249,2006,1
340,hap,0.0254356930520572,2007,1
341,saquinavir,0.02336983449056122,2007,1
342,lavage,0.01879186750447592,2007,1
343,urea,0.016196796710272434,2007,1
344,mutation,0.013996046394218715,2007,1
345,elf,0.01188469451883153,2007,1
346,back,0.011758135830064312,2007,1
347,ls174,0.011184229414417062,2007,1
348,phosphatidylcholine,0.010208269074987156,2007,1
349,lopinavir,0.009996836095107363,2007,1
350,pore,0.009777578511331955,2007,1
351,neat,0.009757617841949472,2007,1
352,tea,0.009500145266151982,2007,1
353,dppc,0.008502704921600391,2007,1
354,bronchoalveolar,0.008115290414483254,2007,1
355,anatomical,0.0074923428980529306,2007,1
356,cdna,0.00730644246789217,2007,1
357,cetp,0.007303967429533835,2007,1
358,arrangement,0.007018986780354286,2007,1
359,prime,0.0068673373310816094,2007,1
360,hap,0.025477792769117248,2008,1
361,saquinavir,0.02340774613264999,2008,1
362,lavage,0.018820761548845103,2008,1
363,urea,0.01622076596765674,2008,1
364,mutation,0.014015965181684532,2008,1
365,elf,0.01190085393863915,2008,1
366,back,0.011774074297008299,2008,1
367,ls174,0.011199172650995034,2008,1
368,phosphatidylcholine,0.01022154647049452,2008,1
369,lopinavir,0.01000975726342124,2008,1
370,pore,0.009790132104308106,2008,1
371,neat,0.009770138065967885,2008,1
372,tea,0.009512236497366818,2008,1
373,dppc,0.008513160537716077,2008,1
374,bronchoalveolar,0.008125122722808825,2008,1
375,anatomical,0.00750118816821474,2008,1
376,cdna,0.007314997009781257,2008,1
377,cetp,0.007312518113016619,2008,1
378,arrangement,0.007027095405842357,2008,1
379,prime,0.006875212540465307,2008,1
380,hap,0.025508592284374243,2009,1
381,saquinavir,0.023435481719808252,2009,1
382,lavage,0.018841900123752676,2009,1
383,urea,0.016238301783281815,2009,1
384,mutation,0.014030537889766529,2009,1
385,elf,0.011912676525528403,2009,1
386,back,0.011785735249325682,2009,1
387,ls174,0.011210105559435028,2009,1
388,phosphatidylcholine,0.010231260765113825,2009,1
389,lopinavir,0.010019210967502221,2009,1
390,pore,0.009799316916542912,2009,1
391,neat,0.009779298467867174,2009,1
392,tea,0.009521083079034525,2009,1
393,dppc,0.008520810622935832,2009,1
394,bronchoalveolar,0.008132316842053873,2009,1
395,anatomical,0.007507660243171321,2009,1
396,cdna,0.007321256409286432,2009,1
397,cetp,0.007318774689994596,2009,1
398,arrangement,0.007033028605477323,2009,1
399,prime,0.006880974989807978,2009,1
400,hap,0.025531118680142104,2010,1
401,saquinavir,0.023455767566014654,2010,1
402,lavage,0.018857361751587566,2010,1
403,urea,0.01625112877255517,2010,1
404,mutation,0.014041197975602458,2010,1
405,elf,0.01192132542578728,2010,1
406,back,0.011794265943451954,2010,1
407,ls174,0.011218103820151629,2010,1
408,phosphatidylcholine,0.010238367818483007,2010,1
409,lopinavir,0.010026127441652256,2010,1
410,pore,0.009806036739665633,2010,1
411,neat,0.009786000438725814,2010,1
412,tea,0.009527555539872218,2010,1
413,dppc,0.008526408023668261,2010,1
414,bronchoalveolar,0.00813758076558362,2010,1
415,anatomical,0.0075123960818230875,2010,1
416,cdna,0.007325836700539288,2010,1
417,cetp,0.007323352916890009,2010,1
418,arrangement,0.007037370317459796,2010,1
419,prime,0.006885191815762325,2010,1
420,hap,0.025547547188372738,2011,1
421,saquinavir,0.02347056185010461,2011,1
422,lavage,0.018868637407930877,2011,1
423,urea,0.016260482868830438,2011,1
424,mutation,0.014048971690617612,2011,1
425,elf,0.011927632366088766,2011,1
426,back,0.011800486676289362,2011,1
427,ls174,0.011223936252428676,2011,1
428,phosphatidylcholine,0.010243550305917684,2011,1
429,lopinavir,0.010031170943663464,2011,1
430,pore,0.009810936828714175,2011,1
431,neat,0.00979088750856436,2011,1
432,tea,0.00953227523417857,2011,1
433,dppc,0.008530489566998077,2011,1
434,bronchoalveolar,0.008141419118698189,2011,1
435,anatomical,0.007515849329825129,2011,1
436,cdna,0.00732917651679937,2011,1
437,cetp,0.007326691227736419,2011,1
438,arrangement,0.0070405361525323245,2011,1
439,prime,0.006888266579589132,2011,1
440,hap,0.02555954674776413,2012,1
441,saquinavir,0.023481368346764828,2012,1
442,lavage,0.01887687498791804,2012,1
443,urea,0.01626731742580008,2012,1
444,mutation,0.014054652256831682,2012,1
445,elf,0.011932241813846563,2012,1
446,back,0.011805033167671956,2012,1
447,ls174,0.01122819916739019,2012,1
448,phosphatidylcholine,0.010247338546326328,2012,1
449,lopinavir,0.010034857675381774,2012,1
450,pore,0.009814518816707701,2012,1
451,neat,0.009794459987719956,2012,1
452,tea,0.009535725466225052,2012,1
453,dppc,0.008533473688902336,2012,1
454,bronchoalveolar,0.00814422560344998,2012,1
455,anatomical,0.007518374504303389,2012,1
456,cdna,0.007331618828955269,2012,1
457,cetp,0.0073291324401717674,2012,1
458,arrangement,0.007042851367777557,2012,1
459,prime,0.0068905152638565675,2012,1
460,hap,0.02556822276525466,2013,1
461,saquinavir,0.023489181046433275,2013,1
462,lavage,0.018882828986973087,2013,1
463,urea,0.016272256437913326,2013,1
464,mutation,0.014058756542446671,2013,1
465,elf,0.011935571424031717,2013,1
466,back,0.011808317249097984,2013,1
467,ls174,0.01123127817807,2013,1
468,phosphatidylcholine,0.010250074315448896,2013,1
469,lopinavir,0.010037520046798249,2013,1
470,pore,0.009817105452925367,2013,1
471,neat,0.00979703974863526,2013,1
472,tea,0.009538216838479871,2013,1
473,dppc,0.008535628072204225,2013,1
474,bronchoalveolar,0.008146251569449724,2013,1
475,anatomical,0.007520197119972509,2013,1
476,cdna,0.007333381549693726,2013,1
477,cetp,0.007330894366016889,2013,1
478,arrangement,0.00704452222322115,2013,1
479,prime,0.006892138032662837,2013,1
480,hap,0.02557446639581837,2014,1
481,saquinavir,0.02349480296572953,2014,1
482,lavage,0.018887112503803778,2014,1
483,urea,0.01627580917997323,2014,1
484,mutation,0.014061708357791773,2014,1
485,elf,0.011937965609144313,2014,1
486,back,0.01181067866383006,2014,1
487,ls174,0.011233491992002265,2014,1
488,phosphatidylcholine,0.010252041093793421,2014,1
489,lopinavir,0.010039434002382807,2014,1
490,pore,0.009818964904525867,2014,1
491,neat,0.009798894252372733,2014,1
492,tea,0.00954000773345502,2014,1
493,dppc,0.008537176468327702,2014,1
494,bronchoalveolar,0.008147707562674744,2014,1
495,anatomical,0.007521506800886034,2014,1
496,cdna,0.007334648137926451,2014,1
497,cetp,0.007332160382353986,2014,1
498,arrangement,0.007045722719164446,2014,1
499,prime,0.006893303933868553,2014,1
500,hap,0.025578924683319137,2015,1
501,saquinavir,0.02349881719060899,2015,1
502,lavage,0.018890170801361864,2015,1
503,urea,0.016278345563788144,2015,1
504,mutation,0.014063815583424797,2015,1
505,elf,0.011939674616789676,2015,1
506,back,0.011812364270006188,2015,1
507,ls174,0.011235072196896682,2015,1
508,phosphatidylcholine,0.010253444895622568,2015,1
509,lopinavir,0.010040800085320616,2015,1
510,pore,0.009820292068371844,2015,1
511,neat,0.009800217883165343,2015,1
512,tea,0.009541285944240516,2015,1
513,dppc,0.00853828152652676,2015,1
514,bronchoalveolar,0.008148746644015832,2015,1
515,anatomical,0.0075224414159505044,2015,1
516,cdna,0.007335551985687434,2015,1
517,cetp,0.007333063821795187,2015,1
518,arrangement,0.007046579378999833,2015,1
519,prime,0.006894135894413331,2015,1
520,hap,0.025582059293412406,2016,1
521,saquinavir,0.023501639723051845,2016,1
522,lavage,0.018892321490296956,2016,1
523,urea,0.01628012941384986,2016,1
524,mutation,0.014065297770128871,2016,1
525,elf,0.011940876867946308,2016,1
526,back,0.01181355006987489,2016,1
527,ls174,0.01123618389825397,2016,1
528,phosphatidylcholine,0.010254432578628755,2016,1
529,lopinavir,0.010041761249623582,2016,1
530,pore,0.009821225869826691,2016,1
531,neat,0.009801149200619126,2016,1
532,tea,0.009542185327768285,2016,1
533,dppc,0.008539059165037917,2016,1
534,bronchoalveolar,0.00814947789142981,2016,1
535,anatomical,0.007523099205858821,2016,1
536,cdna,0.007336188140227707,2016,1
537,cetp,0.007333699689205238,2016,1
538,arrangement,0.0070471823505871,2016,1
539,prime,0.00689472149688717,2016,1
540,hap,0.02558416297559966,2017,1
541,saquinavir,0.023503533805247074,2017,1
542,lavage,0.0188937643891981,2017,1
543,urea,0.01628132599151752,2017,1
544,mutation,0.014066291813067254,2017,1
545,elf,0.011941682987947242,2017,1
546,back,0.011814345146852173,2017,1
547,ls174,0.011236929237505293,2017,1
548,phosphatidylcholine,0.010255094677380783,2017,1
549,lopinavir,0.010042405550099383,2017,1
550,pore,0.009821851805847206,2017,1
551,neat,0.009801773469532671,2017,1
552,tea,0.009542788164913872,2017,1
553,dppc,0.008539580301084263,2017,1
554,bronchoalveolar,0.008149967897687968,2017,1
555,anatomical,0.007523539923236131,2017,1
556,cdna,0.007336614341430629,2017,1
557,cetp,0.007334125697761853,2017,1
558,arrangement,0.007047586288604313,2017,1
559,prime,0.006895113781983885,2017,1
560,hap,0.02558546138744843,2018,1
561,saquinavir,0.02350470289984344,2018,1
562,lavage,0.01889465510280417,2018,1
563,urea,0.016282064714400045,2018,1
564,mutation,0.01406690555633081,2018,1
565,elf,0.01194218076089064,2018,1
566,back,0.011814836104702374,2018,1
567,ls174,0.011237389499797443,2018,1
568,phosphatidylcholine,0.010255503566295256,2018,1
569,lopinavir,0.010042803454194569,2018,1
570,pore,0.009822238375569824,2018,1
571,neat,0.00980215901032622,2018,1
572,tea,0.0095431604780489,2018,1
573,dppc,0.00853990218672245,2018,1
574,bronchoalveolar,0.008150270568637394,2018,1
575,anatomical,0.007523812169884055,2018,1
576,cdna,0.00733687762749315,2018,1
577,cetp,0.0073343888649062714,2018,1
578,arrangement,0.0070478358317348855,2018,1
579,prime,0.006895356131709326,2018,1
580,hap,0.02558607589822575,2019,1
581,saquinavir,0.02350525613759922,2019,1
582,lavage,0.01889507645787324,2019,1
583,urea,0.01628241407836587,2019,1
584,mutation,0.014067195733148104,2019,1
585,elf,0.011942416027505762,2019,1
586,back,0.011815068144845262,2019,1
587,ls174,0.011237607008311072,2019,1
588,phosphatidylcholine,0.010255696756374888,2019,1
589,lopinavir,0.010042991444840775,2019,1
590,pore,0.009822421001492982,2019,1
591,neat,0.009802341149250791,2019,1
592,tea,0.009543336356368691,2019,1
593,dppc,0.00854005420025985,2019,1
594,bronchoalveolar,0.008150413489935044,2019,1
595,anatomical,0.007523940696065121,2019,1
596,cdna,0.0073370019143782685,2019,1
597,cetp,0.00733451309553185,2019,1
598,arrangement,0.007047953617122605,2019,1
599,prime,0.006895470514223149,2019,1
600,transport,0.012981370518497622,2005,2
601,brain,0.011450441024767992,2005,2
602,protein,0.010216125889549708,2005,2
603,rat,0.010185477685019314,2005,2
604,insulin,0.009134596650798686,2005,2
605,conjugate,0.007971817042534649,2005,2
606,sirna,0.007785089560109048,2005,2
607,permeability,0.007133389037636373,2005,2
608,chitosan,0.006231661522553548,2005,2
609,acid,0.006077102882977463,2005,2
610,complex,0.005964324403639977,2005,2
611,binding,0.005871750739151381,2005,2
612,permeation,0.005871695315129823,2005,2
613,caco-2,0.005767051653545313,2005,2
614,study,0.005553023724610132,2005,2
615,peptide,0.005543844038494047,2005,2
616,assay,0.005310907218320199,2005,2
617,molecular,0.005154483206689699,2005,2
618,receptor,0.00508835518934472,2005,2
619,efficiency,0.004782109778062218,2005,2
620,transport,0.013062007234879056,2006,2
621,brain,0.01164197193696982,2006,2
622,protein,0.010060714734072088,2006,2
623,rat,0.009957195832015802,2006,2
624,insulin,0.008915139918828403,2006,2
625,conjugate,0.007939863350695756,2006,2
626,sirna,0.007749126537008588,2006,2
627,permeability,0.007223610492594843,2006,2
628,acid,0.006092381608276074,2006,2
629,chitosan,0.006087757728148344,2006,2
630,complex,0.005971022051550662,2006,2
631,binding,0.005906747041031507,2006,2
632,permeation,0.005800823651009339,2006,2
633,caco-2,0.005574046075713784,2006,2
634,study,0.005542723683839997,2006,2
635,peptide,0.005513207097992984,2006,2
636,assay,0.0053449464198585235,2006,2
637,receptor,0.005164672786411103,2006,2
638,molecular,0.005151912219698689,2006,2
639,efficiency,0.004831768101946709,2006,2
640,transport,0.012046534559746094,2007,2
641,brain,0.011783384626342687,2007,2
642,protein,0.009764089284272094,2007,2
643,rat,0.009698318165015584,2007,2
644,conjugate,0.00825326434624251,2007,2
645,insulin,0.00824284708157702,2007,2
646,sirna,0.00797067873000073,2007,2
647,permeability,0.007218017065457202,2007,2
648,acid,0.0061519415086638655,2007,2
649,complex,0.005975675975897058,2007,2
650,binding,0.005973929435401135,2007,2
651,chitosan,0.0058233466960361715,2007,2
652,permeation,0.005642099544050778,2007,2
653,peptide,0.0056178128952256295,2007,2
654,study,0.00551015207710225,2007,2
655,assay,0.0053744517531914985,2007,2
656,caco-2,0.005172411597529281,2007,2
657,receptor,0.0051677415436849105,2007,2
658,molecular,0.0051130625901474195,2007,2
659,efficiency,0.004955274472228658,2007,2
660,brain,0.01161284402975369,2008,2
661,transport,0.011121737069246811,2008,2
662,protein,0.0094448948541808,2008,2
663,rat,0.009075927525428757,2008,2
664,sirna,0.008585286774618735,2008,2
665,conjugate,0.008335746508122015,2008,2
666,insulin,0.007408986158437698,2008,2
667,permeability,0.007218289807267532,2008,2
668,acid,0.0062248110098247445,2008,2
669,complex,0.006038270555348065,2008,2
670,binding,0.006014491160295557,2008,2
671,peptide,0.005763500158095209,2008,2
672,chitosan,0.005522155936218167,2008,2
673,permeation,0.005517909912470205,2008,2
674,assay,0.0054763796261539845,2008,2
675,study,0.005457223099888023,2008,2
676,receptor,0.005116253973176917,2008,2
677,efficiency,0.0050674523405440245,2008,2
678,molecular,0.0050395846123816425,2008,2
679,peg,0.004854585615319645,2008,2
680,brain,0.011520267303085585,2009,2
681,transport,0.010400466173744244,2009,2
682,sirna,0.009492000618834597,2009,2
683,protein,0.00923630125024677,2009,2
684,conjugate,0.008631499439607674,2009,2
685,rat,0.008574806159006233,2009,2
686,permeability,0.007022196802275655,2009,2
687,insulin,0.006917476579626357,2009,2
